subject,onset,-4,-2,0,2,4,6,8,10,12,conditions,wrongness,run
YOU_FIRSTTHIRD_01,103,0.059422,-0.1501,-0.11741,-0.13225,-0.30262,-0.10865,0.05148,-1.1121,-1.3142,3rd_P_neut,2,5
YOU_FIRSTTHIRD_01,110,-1.1121,-1.3142,-1.3621,0.37264,0.66169,0.46161,0.38292,-0.10363,0.14759,3rd_P_neut,3,5
YOU_FIRSTTHIRD_01,118,0.14759,0.12808,0.39114,-0.18723,0.042447,0.19006,0.10237,-0.70664,-0.94825,3rd_P_neut,1,5
YOU_FIRSTTHIRD_01,127,-0.20691,0.16143,-0.17097,0.083967,-1.0795,0.2872,0.03894,-0.15314,-0.13153,3rd_P_neut,1,5
YOU_FIRSTTHIRD_01,134,-0.15314,-0.13153,0.20628,0.27791,-1.1307,-0.58241,-0.51718,-0.44901,-0.99366,3rd_P_neut,2,5
YOU_FIRSTTHIRD_01,149,0.41365,0.68526,0.75892,-1.143,-1.2687,0.050968,0.18477,-0.17648,-0.15339,3rd_P_neut,1,5
YOU_FIRSTTHIRD_01,217,0.079096,0.8071,-0.69455,-0.20824,2.1015,0.32649,-0.063563,-0.02706,0.08302,3rd_P_neut,1,6
YOU_FIRSTTHIRD_01,240,-0.93634,-1.1476,-0.13094,-1.0635,0.64941,0.92578,0.61118,0.066132,0.074718,3rd_P_neut,3,6
YOU_FIRSTTHIRD_01,256,0.48363,0.92851,1.02,1.2001,0.78473,0.77965,0.71899,1.1811,1.0441,3rd_P_neut,2,6
YOU_FIRSTTHIRD_01,280,-0.49069,-1.2068,0.38408,0.043291,0.0045262,0.27832,0.65984,0.46532,-0.73561,3rd_P_neut,3,6
YOU_FIRSTTHIRD_01,299,-0.21874,-0.17572,-0.54535,0.9051,1.1161,0.47679,0.92579,-0.61821,-1.1696,3rd_P_neut,2,6
YOU_FIRSTTHIRD_01,307,-1.1696,0.34005,0.5631,0.89972,0.89262,0.66451,0.95115,0.68483,0.23228,3rd_P_neut,2,6
YOU_FIRSTTHIRD_01,316,0.42567,0.30088,0.42502,-0.58524,-0.93248,-0.73391,-0.3001,-0.54081,-0.78221,3rd_P_neut,2,6
YOU_FIRSTTHIRD_01,332,0.18315,0.58555,0.40468,-0.69925,0.78695,1.3301,1.2248,0.48644,0.027544,3rd_P_neut,2,6
YOU_FIRSTTHIRD_01,339,0.48644,0.027544,0.19659,0.57145,0.8677,0.89149,0.29591,-0.39385,-0.26397,3rd_P_neut,1,6
YOU_FIRSTTHIRD_01,354,0.49722,-1.1964,0.081205,0.23255,0.18272,0.31074,0.89275,0.84526,-0.22103,3rd_P_neut,3,6
YOU_FIRSTTHIRD_01,363,-0.39758,-0.48705,-0.12245,-0.24347,-0.54768,-0.89773,-0.21108,1.2634,-0.049878,3rd_P_neut,3,6
YOU_FIRSTTHIRD_01,389,-0.2197,0.64822,0.26518,0.063873,0.18069,0.8121,0.95848,1.4105,0.81657,3rd_P_neut,2,6
YOU_FIRSTTHIRD_02,12,-0.46174,-0.52176,-0.20601,-0.23529,-0.55752,-0.52431,0.01239,0.63719,0.48372,1st_P_harm,1,5
YOU_FIRSTTHIRD_02,29,-0.36332,-0.66125,-0.60965,-0.56896,-0.35324,-0.026056,0.47492,0.31715,0.15126,1st_P_harm,1,5
YOU_FIRSTTHIRD_02,37,0.15126,-0.2958,-0.76496,-0.56276,-0.6428,-0.096564,-0.11483,-0.18928,0.25852,1st_P_harm,2,5
YOU_FIRSTTHIRD_02,53,0.35339,-0.47307,-0.54173,-0.52683,-0.38677,-0.22996,0.10849,0.18942,0.22488,1st_P_harm,1,5
YOU_FIRSTTHIRD_02,67,0.19415,0.13166,-0.54379,-0.45661,-0.091651,-0.36055,-0.061559,0.23543,0.21806,1st_P_harm,1,5
YOU_FIRSTTHIRD_02,75,0.21806,-0.38541,-0.7829,-0.97216,-0.38273,-0.48936,-0.039316,0.29075,-0.13751,1st_P_harm,1,5
YOU_FIRSTTHIRD_02,109,-0.12103,-0.42199,-0.67467,-0.64123,-0.26922,-0.075947,0.33026,0.47174,0.13298,1st_P_harm,1,5
YOU_FIRSTTHIRD_02,118,-0.66848,-0.77409,-0.76191,-0.72827,-0.78253,-0.41633,0.19056,0.21263,0.2375,1st_P_harm,1,5
YOU_FIRSTTHIRD_02,134,0.33132,-0.090157,0.11356,-0.077484,-0.43217,-0.43295,0.068974,0.25895,-0.19243,1st_P_harm,2,5
YOU_FIRSTTHIRD_02,148,0.022663,-0.11987,-0.34207,-0.71757,-0.76611,-0.35786,0.13923,0.3656,0.0491,1st_P_harm,2,5
YOU_FIRSTTHIRD_02,174,0.53085,0.59393,-0.064252,-1.163,-1.149,-0.26486,0.13506,0.038898,0.15077,1st_P_harm,2,5
YOU_FIRSTTHIRD_02,183,0.081145,-0.16318,-0.29523,-0.63265,-0.19291,-0.17519,1.0457,-0.09474,-0.66299,1st_P_harm,1,5
YOU_FIRSTTHIRD_02,243,0.18003,-0.050715,-0.27764,-0.16244,-0.11004,0.42509,0.46999,0.28798,-0.2952,1st_P_harm,1,6
YOU_FIRSTTHIRD_02,269,0.23508,0.4096,0.27435,-0.51758,-0.42768,0.32827,0.54401,0.63893,0.21376,1st_P_harm,2,6
